자치구별(2),합,2023. 01,2023. 02,2023. 03,2023. 04,2023. 05,2023. 06,2023. 07,2023. 08,2023. 09,2023. 10,2023. 11,2023. 12,평균,코드
강남구,"3,018,117","248,437","248,933","250,445","251,046","251,123","251,915","252,157","252,440","252,538","252,792","252,435","253,856","251,510",11680
송파구,"2,948,429","250,206","249,372","245,597","245,312","244,929","245,143","244,940","244,506","244,705","244,749","244,671","244,299","245,702",11710
강서구,"2,469,836","206,811","206,082","206,104","206,008","205,650","206,090","205,940","205,425","205,174","205,158","205,573","205,821","205,820",11500
서초구,"2,118,750","176,910","176,168","176,137","175,983","176,265","176,673","176,189","176,237","177,073","176,941","177,071","177,103","176,563",11650
강동구,"1,844,623","153,446","153,609","153,678","153,697","153,780","153,870","153,760","153,676","153,652","153,612","153,823","154,020","153,719",11740
노원구,"1,830,597","152,661","152,563","152,633","152,595","152,503","152,329","152,465","152,478","152,633","152,580","152,647","152,510","152,550",11350
양천구,"1,819,739","151,900","151,905","151,668","151,670","151,604","151,562","151,531","151,577","151,687","151,604","151,622","151,409","151,645",11470
구로구,"1,780,852","148,825","148,391","148,719","148,429","148,384","148,653","148,670","148,325","148,342","148,248","148,048","147,818","148,404",11530
영등포구,"1,735,968","144,736","144,694","144,662","144,538","144,626","144,765","144,824","144,521","144,627","144,595","144,717","144,663","144,664",11560
은평구,"1,609,598","133,756","133,558","133,469","133,448","133,358","133,366","133,628","134,357","134,959","135,231","135,299","135,169","134,133",11380
성북구,"1,473,050","122,756","122,804","122,811","122,885","122,850","122,899","122,862","122,724","122,668","122,648","122,638","122,505","122,754",11290
마포구,"1,468,973","122,168","122,183","122,415","122,477","122,545","122,664","122,586","122,447","122,374","122,376","122,429","122,309","122,414",11440
관악구,"1,424,718","118,742","118,747","118,886","118,824","118,810","118,845","118,967","118,750","118,721","118,628","118,495","118,303","118,727",11620
중랑구,"1,397,413","116,319","116,417","116,523","116,608","116,677","116,575","116,542","116,363","116,415","116,284","116,262","116,428","116,451",11260
동작구,"1,277,781","106,121","105,916","106,150","106,390","106,573","106,665","106,762","106,758","106,741","106,613","106,596","106,496","106,482",11590
성동구,"1,251,574","104,232","103,707","104,782","104,697","104,531","104,414","104,288","103,875","103,867","104,351","104,414","104,416","104,298",11200
동대문구,"1,212,836","99,667","99,759","99,947","100,103","100,165","100,625","101,055","101,674","102,127","102,467","102,610","102,637","101,070",11230
광진구,"1,174,913","98,013","97,950","97,936","97,927","97,920","97,866","97,886","97,941","98,141","97,898","97,808","97,627","97,909",11215
도봉구,"1,144,940","95,686","95,639","95,623","95,537","95,577","95,488","95,444","95,277","95,196","95,163","95,183","95,127","95,412",11320
금천구,"1,107,082","91,948","92,099","92,223","92,291","92,322","92,397","92,430","92,362","92,349","92,286","92,236","92,139","92,257",11545
서대문구,"1,101,587","91,399","91,705","91,862","91,971","91,906","91,947","91,949","91,839","91,858","91,778","91,725","91,648","91,799",11410
용산구,"903,992","75,562","75,553","75,436","75,451","75,425","75,476","75,440","75,359","75,328","75,195","74,997","74,770","75,333",11170
강북구,"900,006","75,208","75,134","75,166","75,175","75,185","75,103","75,119","74,992","74,962","74,754","74,659","74,549","75,001",11305
중구,"676,513","57,876","57,822","57,666","57,588","56,739","56,438","56,180","55,833","55,518","55,191","54,890","54,772","56,376",11140
종로구,"609,682","50,966","50,971","51,000","50,866","50,841","50,666","50,800","50,710","50,704","50,690","50,700","50,768","50,807",11110
