시군구명,총개수,위도,경도,코드
강남구,422,37.5175066,127.0473753,11680
강동구,382,37.5300852,127.1237639,11740
강북구,348,37.6397767,127.0255184,11305
강서구,281,37.5509103,126.8495742,11500
관악구,274,37.4782605,126.9515208,11620
광진구,271,37.5383742,127.0822077,11215
구로구,248,37.4954703,126.8876391,11530
금천구,246,37.4568163,126.8954085,11545
노원구,239,37.6540782,127.0566045,11350
도봉구,219,37.6687055,127.0471,11320
동대문구,209,37.5742015,127.0398327,11230
동작구,201,37.5124298,126.9397997,11590
마포구,200,37.5660739,126.9014792,11440
서대문구,200,37.5792607,126.9364946,11410
서초구,199,37.4835872,127.0326987,11650
성동구,198,37.5634092,127.0369449,11200
성북구,193,37.589366,127.016743,11290
송파구,192,37.5144533,127.1059047,11710
양천구,179,37.5169508,126.8665644,11470
영등포구,175,37.526344,126.896256,11560
용산구,171,37.5323448,126.9901082,11170
은평구,167,37.6026712,126.9288772,11380
종로구,162,37.5734506,126.9791081,11110
중구,158,37.5637584,126.9975517,11140
중랑구,137,37.6063046,127.0931523,11260
