소방서별,소계,연막소득,자동화재속보설비,연기로,타는냄새로,방화,경보오동작,불빛반사,기타
전체,4110,130,476,1607,994,2,376,71,454
종로소방서,169,17,43,51,25,0,9,4,20
중부소방서,36,3,7,9,4,0,1,2,10
광진소방서,87,1,9,36,20,0,11,5,5
용산소방서,135,3,26,48,33,0,8,3,14
동대문소방서,176,10,17,63,51,1,14,3,17
영등포소방서,281,6,39,111,63,0,24,2,36
성북소방서,82,8,15,26,24,0,4,1,4
은평소방서,138,5,6,61,35,0,7,0,24
강남소방서,472,16,50,188,108,1,46,6,57
서초소방서,292,5,25,125,33,0,34,2,68
강서소방서,157,3,8,77,48,0,17,1,3
강동소방서,232,5,17,98,50,0,24,2,36
마포소방서,213,3,19,86,64,0,18,5,18
도봉소방서,120,7,21,25,23,0,13,3,28
구로소방서,369,8,50,154,84,0,43,7,23
노원소방서,129,3,13,47,46,0,6,5,9
관악소방서,165,5,3,67,62,0,7,1,20
송파소방서,321,4,22,147,87,0,42,5,14
양천소방서,107,2,26,28,35,0,6,2,8
중랑소방서,122,2,18,55,22,0,7,6,12
동작소방서,117,2,6,45,40,0,12,4,8
서대문소방서,58,3,13,16,8,0,6,1,11
강북소방서,45,4,11,12,9,0,5,1,3
성동소방서,87,5,12,32,20,0,12,0,6
