동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),위도,경도,개수
강남구,소계,"550,282",39.5,"13,932",37.5175066,127.0473753,6
강동구,소계,"463,318",24.59,"18,841",37.5300852,127.1237639,6
강북구,소계,"292,977",23.6,"12,414",37.6397767,127.0255184,4
강서구,소계,"568,826",41.45,"13,723",37.5509103,126.8495742,6
관악구,소계,"497,883",29.57,"16,838",37.4782605,126.9515208,4
광진구,소계,"351,180",17.06,"20,582",37.5383742,127.0822077,3
구로구,소계,"415,651",20.12,"20,656",37.4954703,126.8876391,6
금천구,소계,"241,105",13.02,"18,517",37.4568163,126.8954085,2
노원구,소계,"502,925",35.44,"14,191",37.6540782,127.0566045,5
도봉구,소계,"309,494",20.65,"14,987",37.6687055,127.0471,4
동대문구,소계,"359,873",14.22,"25,315",37.5742015,127.0398327,5
동작구,소계,"389,714",16.36,"23,826",37.5124298,126.9397997,4
마포구,소계,"375,162",23.85,"15,727",37.5660739,126.9014792,6
서대문구,소계,"320,629",17.63,"18,190",37.5792607,126.9364946,4
서초구,소계,"412,078",46.97,"8,774",37.4835872,127.0326987,6
성동구,소계,"284,766",16.82,"16,930",37.5634092,127.0369449,4
성북구,소계,"438,168",24.58,"17,828",37.589366,127.016743,4
송파구,소계,"660,025",33.88,"19,483",37.5144533,127.1059047,6
양천구,소계,"439,252",17.41,"25,236",37.5169508,126.8665644,5
영등포구,소계,"397,800",24.55,"16,203",37.526344,126.896256,5
용산구,소계,"227,106",21.87,"10,386",37.5323448,126.9901082,5
은평구,소계,"470,869",29.71,"15,849",37.6026712,126.9288772,4
종로구,소계,"150,453",23.91,"6,292",37.5734506,126.9791081,6
중구,소계,"131,793",9.96,"13,232",37.5637584,126.9975517,5
중랑구,소계,"387,470",18.5,"20,948",37.6063046,127.0931523,4
